사고다발지FID,사고다발지ID,법정동코드,지점코드,시도시군구명,지점명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6467426,2018074,11200118,11200002,서울특별시 성동구2,서울특별시 성동구 송정동(왕십리길광나룻길진출 인근),28,43,0,13,29,1,127.0441699,37.55109676,"{""type"":""Polygon"",""coordinates"":[[[127.04551734417,37.5510967616071],[127.045491452856,37.55088834824],[127.045414773901,37.5506879435322],[127.045290254036,37.5505032490185],[127.045122678488,37.5503413625469],[127.044918487092,37.5502085054905],[127.044685526808,37.5501097836381],[127.044432750171,37.5500489909565],[127.044169871244,37.5500284637688],[127.043906992317,37.5500489909565],[127.04365421568,37.5501097836381],[127.043421255396,37.5502085054905],[127.043217064,37.5503413625469],[127.043049488452,37.5505032490185],[127.042924968587,37.5506879435322],[127.042848289632,37.55088834824],[127.042822398318,37.5510967616071],[127.042848289632,37.5513051743913],[127.042924968587,37.5515055774396],[127.043049488452,37.5516902694694],[127.043217064,37.5518521530111],[127.043421255396,37.5519850071377],[127.04365421568,37.5520837265063],[127.043906992317,37.5521445175282],[127.044169871244,37.5521650441331],[127.044432750171,37.5521445175282],[127.044685526808,37.5520837265063],[127.044918487092,37.5519850071377],[127.045122678488,37.5518521530111],[127.045290254036,37.5516902694694],[127.045414773901,37.5515055774396],[127.045491452856,37.5513051743913],[127.04551734417,37.5510967616071]]]}"
6467427,2018074,11200107,11200003,서울특별시 성동구3,서울특별시 성동구 행당동(무학여고앞 인근),23,32,0,4,22,6,127.034011,37.55849583,"{""type"":""Polygon"",""coordinates"":[[[127.035358491721,37.5584958303192],[127.035332600407,37.5582874376439],[127.035255921452,37.5580870528326],[127.035131401587,37.5579023766557],[127.034963826039,37.5577405062564],[127.034759634643,37.5576076623901],[127.034526674359,37.5575089503388],[127.034273897722,37.5574481636928],[127.034011018795,37.557427638543],[127.033748139868,37.5574481636928],[127.033495363231,37.5575089503388],[127.033262402947,37.5576076623901],[127.033058211551,37.5577405062564],[127.032890636003,37.5579023766557],[127.032766116138,37.5580870528326],[127.032689437183,37.5582874376439],[127.032663545869,37.5584958303192],[127.032689437183,37.5587042224116],[127.032766116138,37.5589046055632],[127.032890636003,37.5590892792561],[127.033058211551,37.5592511467254],[127.033262402947,37.5593839876616],[127.033495363231,37.5594826972288],[127.033748139868,37.5595434822152],[127.034011018795,37.5595640067821],[127.034273897722,37.5595434822152],[127.034526674359,37.5594826972288],[127.034759634643,37.5593839876616],[127.034963826039,37.5592511467254],[127.035131401587,37.5590892792561],[127.035255921452,37.5589046055632],[127.035332600407,37.5587042224116],[127.035358491721,37.5584958303192]]]}"
6467482,2018074,11215107,11215001,서울특별시 광진구1,서울특별시 광진구 화양동(건대입구역 인근),40,53,0,4,45,4,127.0706325,37.53992053,"{""type"":""Polygon"",""coordinates"":[[[127.071979953831,37.5399205250131],[127.071954062517,37.5397120803979],[127.071877383562,37.5395116456428],[127.071752863697,37.5393269234374],[127.071585288149,37.5391650126939],[127.071381096753,37.5390321357181],[127.071148136469,37.5389333990642],[127.070895359832,37.5388725972679],[127.070632480905,37.5388520670026],[127.070369601978,37.5388725972679],[127.070116825341,37.5389333990642],[127.069883865057,37.5390321357181],[127.069679673661,37.5391650126939],[127.069512098113,37.5393269234374],[127.069387578248,37.5395116456428],[127.069310899293,37.5397120803979],[127.069285007979,37.5399205250131],[127.069310899293,37.5401289690456],[127.069387578248,37.5403294021412],[127.069512098113,37.540514121863],[127.069679673661,37.5406760296769],[127.069883865057,37.5408089037232],[127.070116825341,37.5409076378935],[127.070369601978,37.5409684380303],[127.070632480905,37.5409889677129],[127.070895359832,37.5409684380303],[127.071148136469,37.5409076378935],[127.071381096753,37.5408089037232],[127.071585288149,37.5406760296769],[127.071752863697,37.540514121863],[127.071877383562,37.5403294021412],[127.071954062517,37.5401289690456],[127.071979953831,37.5399205250131]]]}"
6467483,2018074,11215105,11215002,서울특별시 광진구2,서울특별시 광진구 자양동(자양사거리일반국도3호 인근),30,41,0,10,28,3,127.0834257,37.53713814,"{""type"":""Polygon"",""coordinates"":[[[127.084773165169,37.5371381377158],[127.084747273855,37.5369296853224],[127.0846705949,37.536729243088],[127.084546075035,37.5365445139898],[127.084378499487,37.5363825972046],[127.084174308091,37.5362497152705],[127.083941347807,37.5361509749323],[127.08368857117,37.5360901708673],[127.083425692243,37.5360696398359],[127.083162813316,37.5360901708673],[127.082910036679,37.5361509749323],[127.082677076395,37.5362497152705],[127.082472884999,37.5363825972046],[127.082305309451,37.5365445139898],[127.082180789586,37.536729243088],[127.082104110631,37.5369296853224],[127.082078219317,37.5371381377158],[127.082104110631,37.5373465895265],[127.082180789586,37.5375470301014],[127.082305309451,37.5377317567162],[127.082472884999,37.5378936705719],[127.082677076395,37.5380265495765],[127.082910036679,37.5381252874312],[127.083162813316,37.5381860898368],[127.083425692243,37.5382066202855],[127.08368857117,37.5381860898368],[127.083941347807,37.5381252874312],[127.084174308091,37.5380265495765],[127.084378499487,37.5378936705719],[127.084546075035,37.5377317567162],[127.0846705949,37.5375470301014],[127.084747273855,37.5373465895265],[127.084773165169,37.5371381377158]]]}"
6467484,2018074,11215102,11215003,서울특별시 광진구3,서울특별시 광진구 능동(결혼의집백악관 인근),24,36,0,12,22,2,127.0884424,37.55354541,"{""type"":""Polygon"",""coordinates"":[[[127.089789892009,37.5535454077952],[127.089764000695,37.5533370012755],[127.08968732174,37.5531366031518],[127.089562801875,37.5529519147062],[127.089395226327,37.5527900335533],[127.089191034931,37.5526571808617],[127.088958074647,37.5525584622527],[127.08870529801,37.5524976715684],[127.088442419083,37.5524771450551],[127.088179540156,37.5524976715684],[127.087926763519,37.5525584622527],[127.087693803235,37.5526571808617],[127.087489611839,37.5527900335533],[127.087322036291,37.5529519147062],[127.087197516426,37.5531366031518],[127.087120837471,37.5533370012755],[127.087094946157,37.5535454077952],[127.087120837471,37.5537538137321],[127.087197516426,37.5539542101961],[127.087322036291,37.5541388961579],[127.087489611839,37.5543007743809],[127.087693803235,37.5544336241425],[127.087926763519,37.5545323402676],[127.088179540156,37.5545931292922],[127.088442419083,37.5546136552227],[127.08870529801,37.5545931292922],[127.088958074647,37.5545323402676],[127.089191034931,37.5544336241425],[127.089395226327,37.5543007743809],[127.089562801875,37.5541388961579],[127.08968732174,37.5539542101961],[127.089764000695,37.5537538137321],[127.089789892009,37.5535454077952]]]}"
6467428,2018074,11230107,11230001,서울특별시 동대문구1,서울특별시 동대문구 청량리동(청량리역홍릉길진입1 인근),51,55,1,19,34,1,127.0450754,37.58084536,"{""type"":""Polygon"",""coordinates"":[[[127.046422837364,37.5808453636236],[127.04639694605,37.5806370334707],[127.046320267095,37.580436708779],[127.04619574723,37.5802520880085],[127.046028171682,37.5800902661733],[127.045823980286,37.5799574621624],[127.045591020002,37.5798587797264],[127.045338243365,37.5797980113173],[127.045075364438,37.5797774923254],[127.044812485511,37.5797980113173],[127.044559708874,37.5798587797264],[127.04432674859,37.5799574621624],[127.044122557194,37.5800902661733],[127.043954981646,37.5802520880085],[127.043830461781,37.580436708779],[127.043753782826,37.5806370334707],[127.043727891512,37.5808453636236],[127.043753782826,37.5810536931935],[127.043830461781,37.5812540162251],[127.043954981646,37.5814386345111],[127.044122557194,37.5816004534157],[127.04432674859,37.5817332544959],[127.044559708874,37.5818319344474],[127.044812485511,37.5818927011964],[127.045075364438,37.5819132196054],[127.045338243365,37.5818927011964],[127.045591020002,37.5818319344474],[127.045823980286,37.5817332544959],[127.046028171682,37.5816004534157],[127.04619574723,37.5814386345111],[127.046320267095,37.5812540162251],[127.04639694605,37.5810536931935],[127.046422837364,37.5808453636236]]]}"
6467429,2018074,11230102,11230002,서울특별시 동대문구2,서울특별시 동대문구 용두동(성심의원고산자로진출 인근),48,66,0,18,45,3,127.0381443,37.57360729,"{""type"":""Polygon"",""coordinates"":[[[127.039491740771,37.5736072933428],[127.039465849457,37.5733989429381],[127.039389170502,37.5731985987729],[127.039264650636,37.5730139600555],[127.039097075089,37.5728521224897],[127.038892883693,37.5727193055691],[127.038659923409,37.5726206135404],[127.038407146772,37.572559839224],[127.038144267845,37.5725393182375],[127.037881388918,37.572559839224],[127.037628612281,37.5726206135404],[127.037395651997,37.5727193055691],[127.037191460601,37.5728521224897],[127.037023885053,37.5730139600555],[127.036899365188,37.5731985987729],[127.036822686233,37.5733989429381],[127.036796794919,37.5736072933428],[127.036822686233,37.5738156431646],[127.036899365188,37.5740159856699],[127.037023885053,37.5742006219029],[127.037191460601,37.5743624565382],[127.037395651997,37.5744952705283],[127.037628612281,37.5745939600727],[127.037881388918,37.5746547327291],[127.038144267845,37.5746752531327],[127.038407146772,37.5746547327291],[127.038659923409,37.5745939600727],[127.038892883693,37.5744952705283],[127.039097075089,37.5743624565382],[127.039264650636,37.5742006219029],[127.039389170502,37.5740159856699],[127.039465849457,37.5738156431646],[127.039491740771,37.5736072933428]]]}"
6467430,2018074,11230103,11230003,서울특별시 동대문구3,서울특별시 동대문구 제기동(경동시장 인근),39,44,0,10,31,3,127.0383275,37.57817775,"{""type"":""Polygon"",""coordinates"":[[[127.039674992027,37.578177746007],[127.039649100713,37.5779694083899],[127.039572421758,37.5777690765207],[127.039447901893,37.5775844491355],[127.039280326345,37.5774226215024],[127.039076134949,37.5772898127334],[127.038843174665,37.5771911267617],[127.038590398028,37.5771303561754],[127.038327519101,37.5771098364483],[127.038064640174,37.5771303561754],[127.037811863537,37.5771911267617],[127.037578903253,37.5772898127334],[127.037374711857,37.5774226215024],[127.037207136309,37.5775844491355],[127.037082616444,37.5777690765207],[127.037005937489,37.5779694083899],[127.036980046175,37.578177746007],[127.037005937489,37.5783860830412],[127.037082616444,37.5785864132503],[127.037207136309,37.5787710381511],[127.037374711857,37.5789328628536],[127.037578903253,37.579065668692],[127.037811863537,37.5791643521792],[127.038064640174,37.5792251211055],[127.038327519101,37.5792456402496],[127.038590398028,37.5792251211055],[127.038843174665,37.5791643521792],[127.039076134949,37.579065668692],[127.039280326345,37.5789328628536],[127.039447901893,37.5787710381511],[127.039572421758,37.5785864132503],[127.039649100713,37.5783860830412],[127.039674992027,37.578177746007]]]}"
6467476,2018074,11260106,11260001,서울특별시 중랑구1,서울특별시 중랑구 신내동(망우사거리 인근),46,72,0,16,49,7,127.1004455,37.59988133,"{""type"":""Polygon"",""coordinates"":[[[127.101793009359,37.5998813331579],[127.101767118045,37.5996730562828],[127.10169043909,37.5994727828213],[127.101565919225,37.5992882092648],[127.101398343677,37.5991264288129],[127.101194152281,37.5989936587644],[127.100961191997,37.5988950015647],[127.10070841536,37.598834248696],[127.100445536433,37.5988137349515],[127.100182657506,37.598834248696],[127.099929880869,37.5988950015647],[127.099696920585,37.5989936587644],[127.099492729189,37.5991264288129],[127.099325153641,37.5992882092648],[127.099200633776,37.5994727828213],[127.099123954821,37.5996730562828],[127.099098063507,37.5998813331579],[127.099123954821,37.6000896094499],[127.099200633776,37.600289881251],[127.099325153641,37.6004744523226],[127.099492729189,37.6006362298433],[127.099696920585,37.6007689969606],[127.099929880869,37.6008676516754],[127.100182657506,37.6009284028837],[127.100445536433,37.6009489160452],[127.10070841536,37.6009284028837],[127.100961191997,37.6008676516754],[127.101194152281,37.6007689969606],[127.101398343677,37.6006362298433],[127.101565919225,37.6004744523226],[127.10169043909,37.600289881251],[127.101767118045,37.6000896094499],[127.101793009359,37.5998813331579]]]}"
6467477,2018074,11260105,11260002,서울특별시 중랑구2,서울특별시 중랑구 망우동(한일써너스빌리젠시2 인근),40,52,0,17,30,5,127.0938901,37.59781084,"{""type"":""Polygon"",""coordinates"":[[[127.095237563183,37.5978108437963],[127.095211671869,37.5976025611252],[127.095134992914,37.5974022820905],[127.095010473049,37.5972177033977],[127.094842897501,37.5970559184437],[127.094638706105,37.5969231447005],[127.094405745821,37.5968244847554],[127.094152969184,37.5967637301961],[127.093890090257,37.5967432158807],[127.09362721133,37.5967637301961],[127.093374434693,37.5968244847554],[127.093141474409,37.5969231447005],[127.092937283013,37.5970559184437],[127.092769707465,37.5972177033977],[127.0926451876,37.5974022820905],[127.092568508645,37.5976025611252],[127.092542617331,37.5978108437963],[127.092568508645,37.5980191258843],[127.0926451876,37.5982194032587],[127.092769707465,37.5984039794667],[127.092937283013,37.5985657614895],[127.093141474409,37.5986985323015],[127.093374434693,37.5987971897617],[127.09362721133,37.5988579426607],[127.093890090257,37.5988784563931],[127.094152969184,37.5988579426607],[127.094405745821,37.5987971897617],[127.094638706105,37.5986985323015],[127.094842897501,37.5985657614895],[127.095010473049,37.5984039794667],[127.095134992914,37.5982194032587],[127.095211671869,37.5980191258843],[127.095237563183,37.5978108437963]]]}"
6467478,2018074,11260103,11260003,서울특별시 중랑구3,서울특별시 중랑구 중화동(면목역 인근),38,41,0,11,25,5,127.0875957,37.58839339,"{""type"":""Polygon"",""coordinates"":[[[127.088943203685,37.5883933915427],[127.088917312371,37.5881850825125],[127.088840633416,37.5879847781316],[127.088716113551,37.5878001760797],[127.088548538003,37.5876383706513],[127.088344346607,37.5875055801053],[127.088111386323,37.5874069076745],[127.087858609686,37.5873461454266],[127.087595730759,37.5873256285151],[127.087332851832,37.5873461454266],[127.087080075195,37.5874069076745],[127.086847114911,37.5875055801053],[127.086642923515,37.5876383706513],[127.086475347967,37.5878001760797],[127.086350828102,37.5879847781316],[127.086274149147,37.5881850825125],[127.086248257833,37.5883933915427],[127.086274149147,37.5886016999899],[127.086350828102,37.5888020027106],[127.086475347967,37.5889866022778],[127.086642923515,37.5891484047753],[127.086847114911,37.5892811923905],[127.087080075195,37.5893798623365],[127.087332851832,37.5894406229243],[127.087595730759,37.5894611392528],[127.087858609686,37.5894406229243],[127.088111386323,37.5893798623365],[127.088344346607,37.5892811923905],[127.088548538003,37.5891484047753],[127.088716113551,37.5889866022778],[127.088840633416,37.5888020027106],[127.088917312371,37.5886016999899],[127.088943203685,37.5883933915427]]]}"
